direction,train_cycle,chronological_age_years,term_score_log_odds,training_bin_unweighted_n,display_eligible
train_2015_2016_test_2017_2018,2015_2016,39.0,-0.5499683759288704,64,True
train_2015_2016_test_2017_2018,2015_2016,39.5,-0.5070355885318473,81,True
train_2015_2016_test_2017_2018,2015_2016,40.0,-0.5070355885318473,81,True
train_2015_2016_test_2017_2018,2015_2016,40.5,-0.5070355885318473,81,True
train_2015_2016_test_2017_2018,2015_2016,41.0,-0.5070355885318473,81,True
train_2015_2016_test_2017_2018,2015_2016,41.5,-0.46718794061333746,68,True
train_2015_2016_test_2017_2018,2015_2016,42.0,-0.46718794061333746,68,True
train_2015_2016_test_2017_2018,2015_2016,42.5,-0.46718794061333746,68,True
train_2015_2016_test_2017_2018,2015_2016,43.0,-0.46718794061333746,68,True
train_2015_2016_test_2017_2018,2015_2016,43.5,-0.4208736425336572,68,True
train_2015_2016_test_2017_2018,2015_2016,44.0,-0.4208736425336572,68,True
train_2015_2016_test_2017_2018,2015_2016,44.5,-0.4208736425336572,68,True
train_2015_2016_test_2017_2018,2015_2016,45.0,-0.4208736425336572,68,True
train_2015_2016_test_2017_2018,2015_2016,45.5,0.049988103606175824,83,True
train_2015_2016_test_2017_2018,2015_2016,46.0,0.049988103606175824,83,True
train_2015_2016_test_2017_2018,2015_2016,46.5,0.049988103606175824,83,True
train_2015_2016_test_2017_2018,2015_2016,47.0,0.049988103606175824,83,True
train_2015_2016_test_2017_2018,2015_2016,47.5,0.08597848051198594,63,True
train_2015_2016_test_2017_2018,2015_2016,48.0,0.08597848051198594,63,True
train_2015_2016_test_2017_2018,2015_2016,48.5,0.08597848051198594,63,True
train_2015_2016_test_2017_2018,2015_2016,49.0,0.08597848051198594,63,True
train_2015_2016_test_2017_2018,2015_2016,49.5,0.17910565945336643,75,True
train_2015_2016_test_2017_2018,2015_2016,50.0,0.17910565945336643,75,True
train_2015_2016_test_2017_2018,2015_2016,50.5,0.17910565945336643,75,True
train_2015_2016_test_2017_2018,2015_2016,51.0,0.17910565945336643,75,True
train_2015_2016_test_2017_2018,2015_2016,51.5,0.5054186254789965,58,True
train_2015_2016_test_2017_2018,2015_2016,52.0,0.5054186254789965,58,True
train_2015_2016_test_2017_2018,2015_2016,52.5,0.5054186254789965,58,True
train_2015_2016_test_2017_2018,2015_2016,53.0,0.5054186254789965,58,True
